"sport","n_bets","avg_stake","total_stake","win_rate","hold_pct"
"Ice Hockey","5038","127.36","641621.60","0.355","0.0717"
"Football","49222","132.81","6536992.85","0.366","0.0877"
"Tennis","18138","133.26","2417007.05","0.360","0.0992"
"Baseball","2988","134.89","403060.40","0.369","0.1464"
"Formula 1","676","129.65","87640.15","0.398","-0.0409"
"Basketball","8167","133.07","1086777.95","0.368","0.1328"
"Table Tennis","2001","140.69","281530.30","0.357","0.2034"
"Handball","3948","129.14","509851.90","0.368","0.0661"
"Rugby","1915","128.73","246527.30","0.351","0.2057"
"Snooker","3064","136.71","418885.45","0.371","0.0779"
"Volleyball","4023","131.93","530752.75","0.358","0.1602"
"Badminton","516","124.84","64416.10","0.391","0.1316"
"Cycling","304","125.33","38101.35","0.398","0.2131"
